Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D9,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_4,180.90875,-122.106466,-90.0,top
D10,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_2,180.90875,-114.606466,-90.0,top
D11,1N4148W,SOD_123F_L2_7_W1_6_LS3_8_RD_7,180.90875,-107.106466,-90.0,top
J2,2X1-pin-header,PIN_GRID,124.231509,-107.313566,180.0,top
J3,2X1-pin-header,PIN_GRID,164.007522,-132.263141,-90.0,top
LED1,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-104.459956,-90.0,top
LED2,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-107.459956,-90.0,top
LED3,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-110.459956,-90.0,top
LED4,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-113.459956,-90.0,top
LED5,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-116.459956,-90.0,top
LED6,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-119.459956,-90.0,top
LED7,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-122.459956,-90.0,top
LED8,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-125.459956,-90.0,top
LED9,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-128.459956,-90.0,top
LED10,WS2816C-2121,LED_SMD_6P_L2_2_W2_2_TL_1,173.281828,-131.459956,-90.0,top
LED11,KT-0603白灯,LED0603_R_RD_WHITE,95.847535,-130.040522,-135.0,top
LED12,KT-0603白灯,LED0603_R_RD_WHITE,92.347535,-130.040522,-135.0,top
LED13,KT-0603白灯,LED0603_R_RD_WHITE,88.847535,-130.040522,-135.0,top
LED14,KT-0603白灯,LED0603_R_RD_WHITE,95.847535,-126.540522,-135.0,top
LED15,KT-0603白灯,LED0603_R_RD_WHITE,92.347535,-126.540522,-135.0,top
LED16,KT-0603白灯,LED0603_R_RD_WHITE,88.847535,-126.540522,-135.0,top
LED17,KT-0603白灯,LED0603_R_RD_WHITE,95.847535,-123.040522,-135.0,top
LED18,KT-0603白灯,LED0603_R_RD_WHITE,92.347535,-123.040522,-135.0,top
LED19,KT-0603白灯,LED0603_R_RD_WHITE,88.847535,-123.040522,-135.0,top
LED20,KT-0603白灯,LED0603_R_RD_WHITE,95.830473,-117.943494,-135.0,top
LED21,KT-0603白灯,LED0603_R_RD_WHITE,92.330473,-117.943494,-135.0,top
LED22,KT-0603白灯,LED0603_R_RD_WHITE,88.830473,-117.943494,-135.0,top
LED23,KT-0603白灯,LED0603_R_RD_WHITE,95.830473,-114.443494,-135.0,top
LED24,KT-0603白灯,LED0603_R_RD_WHITE,92.330473,-114.443494,-135.0,top
LED25,KT-0603白灯,LED0603_R_RD_WHITE,88.830473,-114.443494,-135.0,top
LED26,KT-0603白灯,LED0603_R_RD_WHITE,95.830473,-110.943494,-135.0,top
LED27,KT-0603白灯,LED0603_R_RD_WHITE,92.330473,-110.943494,-135.0,top
LED28,KT-0603白灯,LED0603_R_RD_WHITE,88.830473,-110.943494,-135.0,top
LED29,NH-Z1921RGBA-SF,LED_ARRAY_SMD_4P_L2_2_W2_1_BR,89.971791,-93.480831,135.0,top
LED30,NH-Z1921RGBA-SF,LED_ARRAY_SMD_4P_L2_2_W2_1_BR,89.971791,-89.980831,135.0,top
